episode_id,episode_id_num,view_group,training_status,training_ready,training_warnings,training_info,has_images,fpv_quality,fpv_max_gap_ms,fpv_gap_mask_status,train_exclude_fraction,fpv_usage,usage_note
episode_26,26,early_new_view_26_38,PASS,1,,,1,usable_clean,100.303872,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_27,27,early_new_view_26_38,FAIL,0,raw_qpos_branch_jump,usable_with_gap_mask,1,usable_with_gap_mask,266.764032,usable_with_gap_mask,0.05394736842105263,fpv_reuse_with_mask,"Do not use failed action labels; reuse healthy FPV windows for swap sensitivity, ROI/mask, and visual-domain stats."
episode_28,28,early_new_view_26_38,FAIL,0,episode_length_outlier;episode_total_steps_outlier,,1,usable_clean,100.208896,no_large_gap,0.0,limited_fpv_reuse,FPV can support visual statistics/thumbnails; too short or length-outlier for primary temporal replay.
episode_29,29,early_new_view_26_38,PASS,1,,,1,usable_clean,100.258048,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_30,30,early_new_view_26_38,PASS,1,,usable_with_gap_mask,1,usable_with_gap_mask,266.735104,usable_with_gap_mask,0.039651837524177946,supervised_train_with_mask,Action label is train-ready; use only unmasked windows and keep view-group label for reporting.
episode_31,31,early_new_view_26_38,FAIL,0,qpos_jump,,1,usable_clean,200.02099199999998,no_large_gap,0.0,fpv_reuse_only,"Do not use failed action labels; reuse FPV for swap sensitivity, ROI/mask, and visual-domain stats."
episode_32,32,early_new_view_26_38,PASS,1,,,1,usable_clean,100.34304,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_33,33,early_new_view_26_38,PASS,1,,,1,usable_clean,100.205056,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_34,34,early_new_view_26_38,PASS,1,,bucket_reference_semantic_keep,1,usable_clean,133.537024,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_35,35,early_new_view_26_38,PASS,1,,,1,usable_clean,100.22784,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_36,36,early_new_view_26_38,PASS,1,,bucket_reference_semantic_keep,1,usable_clean,100.26700799999999,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_37,37,early_new_view_26_38,FAIL,0,qpos_jump,,1,usable_clean,100.23295999999999,no_large_gap,0.0,fpv_reuse_only,"Do not use failed action labels; reuse FPV for swap sensitivity, ROI/mask, and visual-domain stats."
episode_38,38,early_new_view_26_38,PASS,1,,,1,usable_clean,100.491008,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_39,39,late_new_view_39_65,PASS,1,,bucket_reference_semantic_keep,1,usable_clean,102.582016,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
episode_40,40,late_new_view_39_65,PASS,1,,bucket_reference_semantic_keep,1,usable_clean,200.04198399999999,no_large_gap,0.0,supervised_train,Action label and FPV are usable for BC train; keep view-group label for split reporting.
