episode_id,episode_id_num,view_group,training_status,training_ready,training_warnings,training_info,fpv_quality,fpv_max_gap_ms,train_exclude_fraction,label_usage,fpv_visual_usage,next_step_role,reason
episode_26,26,early_new_view_26_38,PASS,1,,,usable_clean,100.303872,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_27,27,early_new_view_26_38,FAIL,0,raw_qpos_branch_jump,usable_with_gap_mask,usable_with_gap_mask,266.764032,0.05394736842105263,no_action_label,fpv_reuse_domain_masked,fpv_swap_roi_mask_augmentation_source,Action label rejected; FPV stream can still represent the shifted camera/domain.
episode_28,28,early_new_view_26_38,FAIL,0,episode_length_outlier;episode_total_steps_outlier,,usable_clean,100.208896,0.0,no_action_label,fpv_stats_only,visual_statistics_or_thumbnail_only,Episode length/source length is outlier; avoid temporal replay but visual domain stats are allowed.
episode_29,29,early_new_view_26_38,PASS,1,,,usable_clean,100.258048,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_30,30,early_new_view_26_38,PASS,1,,usable_with_gap_mask,usable_with_gap_mask,266.735104,0.039651837524177946,bc_supervised_masked,fpv_train_masked,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_31,31,early_new_view_26_38,FAIL,0,qpos_jump,,usable_clean,200.02099199999998,0.0,no_action_label,fpv_reuse_domain,fpv_swap_roi_mask_augmentation_source,Action label rejected; FPV stream can still represent the shifted camera/domain.
episode_32,32,early_new_view_26_38,PASS,1,,,usable_clean,100.34304,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_33,33,early_new_view_26_38,PASS,1,,,usable_clean,100.205056,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_34,34,early_new_view_26_38,PASS,1,,bucket_reference_semantic_keep,usable_clean,133.537024,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_35,35,early_new_view_26_38,PASS,1,,,usable_clean,100.22784,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_36,36,early_new_view_26_38,PASS,1,,bucket_reference_semantic_keep,usable_clean,100.26700799999999,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_37,37,early_new_view_26_38,FAIL,0,qpos_jump,,usable_clean,100.23295999999999,0.0,no_action_label,fpv_reuse_domain,fpv_swap_roi_mask_augmentation_source,Action label rejected; FPV stream can still represent the shifted camera/domain.
episode_38,38,early_new_view_26_38,PASS,1,,,usable_clean,100.491008,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_39,39,late_new_view_39_65,PASS,1,,bucket_reference_semantic_keep,usable_clean,102.582016,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_40,40,late_new_view_39_65,PASS,1,,bucket_reference_semantic_keep,usable_clean,200.04198399999999,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_41,41,late_new_view_39_65,PASS,1,,bucket_reference_semantic_keep,usable_clean,234.183168,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_42,42,late_new_view_39_65,PASS,1,,,usable_clean,100.226816,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_43,43,late_new_view_39_65,PASS,1,,,usable_clean,199.909888,0.0,bc_supervised,fpv_train,main_bc_train_and_view_group_eval,Action labels are train-ready; keep view group for held-out reporting.
episode_44,44,late_new_view_39_65,FAIL,0,qpos_jump;raw_qpos_branch_jump;bucket_reference_outlier,,usable_clean,100.26496,0.0,no_action_label,fpv_reuse_domain,fpv_swap_roi_mask_augmentation_source,Action label rejected; FPV stream can still represent the shifted camera/domain.
