step,phase
0,DIG
1,DIG
2,DIG
3,DIG
4,DIG
5,DIG
6,DIG
7,DIG
8,DIG
9,DIG
10,DIG
11,DIG
12,DIG
13,DIG
14,DIG
15,DIG
16,DIG
17,DIG
18,DIG
19,DIG
20,DIG
21,DIG
22,DIG
23,DIG
24,DIG
25,DIG
26,DIG
27,DIG
28,DIG
29,DIG
30,DIG
31,DIG
32,DIG
33,DIG
34,DIG
35,DIG
36,DIG
37,DIG
38,DIG
39,DIG
40,DIG
41,DIG
42,DIG
43,DIG
44,DIG
45,DIG
46,DIG
47,DIG
48,DIG
49,DIG
50,DIG
51,DIG
52,DIG
53,DIG
54,DIG
55,DIG
56,DIG
57,DIG
58,DIG
59,DIG
60,DIG
61,DIG
62,DIG
63,DIG
64,DIG
65,DIG
66,DIG
67,DIG
68,DIG
69,DIG
70,DIG
71,DIG
72,DIG
73,DIG
74,DIG
75,DIG
76,DIG
77,DIG
78,DIG
79,DIG
80,DIG
81,DIG
82,DIG
83,DIG
84,DIG
85,DIG
86,DIG
87,DIG
88,DIG
89,DIG
90,DIG
91,DIG
92,DIG
93,DIG
94,DIG
95,DIG
96,DIG
97,DIG
98,DIG
99,DIG
100,DIG
101,DIG
102,DIG
103,DIG
104,DIG
105,DIG
106,DIG
107,DIG
108,DIG
109,DIG
110,DIG
111,DIG
112,DIG
113,DIG
114,DIG
115,DIG
116,DIG
117,DIG
118,DIG
119,DIG
120,DIG
121,DIG
122,DIG
123,DIG
124,DIG
125,DIG
126,DIG
127,DIG
128,DIG
129,DIG
130,DIG
131,DIG
132,DIG
133,DIG
134,DIG
135,DIG
136,DIG
137,DIG
138,DIG
139,DIG
140,DIG
141,DIG
142,DIG
143,DIG
144,DIG
145,DIG
146,DIG
147,DIG
148,DIG
149,DIG
150,DIG
151,DIG
152,DIG
153,DIG
154,DIG
155,DIG
156,DIG
157,DIG
158,DIG
159,DIG
160,DIG
161,DIG
162,DIG
163,DIG
164,DIG
165,DIG
166,DIG
167,DIG
168,DIG
169,DIG
170,DIG
171,DIG
172,DIG
173,DIG
174,DIG
175,DIG
176,DIG
177,DIG
178,DIG
179,DIG
180,DIG
181,DIG
182,DIG
183,DIG
184,DIG
185,DIG
186,DIG
187,DIG
188,DIG
189,DIG
190,DIG
191,DIG
192,DIG
193,DIG
194,DIG
195,DIG
196,DIG
197,DIG
198,DIG
199,DIG
200,DIG
201,DIG
202,DIG
203,DIG
204,DIG
205,DIG
206,DIG
207,DIG
208,DIG
209,DIG
210,DIG
211,DIG
212,DIG
213,DIG
214,DIG
215,DIG
216,DIG
217,DIG
218,DIG
219,DIG
220,DIG
221,DIG
222,DIG
223,DIG
224,DIG
225,DIG
226,DIG
227,DIG
228,DIG
229,DIG
230,DIG
231,DIG
232,DIG
233,DIG
234,DIG
235,DIG
236,DIG
237,DIG
238,DIG
239,DIG
240,DIG
241,DIG
242,DIG
243,DIG
244,DIG
245,DIG
246,DIG
247,DIG
248,DIG
249,DIG
250,DIG
251,DIG
252,DIG
253,DIG
254,DIG
255,DIG
256,DIG
257,DIG
258,DIG
259,DIG
260,DIG
261,DIG
262,DIG
263,DIG
264,DIG
265,DIG
266,DIG
267,DIG
268,DIG
269,DIG
270,DIG
271,DIG
272,DIG
273,DIG
274,DIG
275,DIG
276,DIG
277,DIG
278,DIG
279,DIG
280,DIG
281,DIG
282,DIG
283,DIG
284,DIG
285,DIG
286,DIG
287,DIG
288,DIG
289,DIG
290,DIG
291,DIG
292,DIG
293,DIG
294,DIG
295,DIG
296,DIG
297,DIG
298,DIG
299,DIG
300,DIG
301,DIG
302,DIG
303,DIG
304,DIG
305,DIG
306,DIG
307,DIG
308,DIG
309,DIG
310,DIG
311,DIG
312,DIG
313,DIG
314,DIG
315,DIG
316,DIG
317,DIG
318,DIG
319,DIG
320,DIG
321,DIG
322,DIG
323,DIG
324,DIG
325,DIG
326,DIG
327,DIG
328,DIG
329,DIG
330,DIG
331,DIG
332,DIG
333,DIG
334,DIG
335,DIG
336,DIG
337,DIG
338,DIG
339,DIG
340,DIG
341,DIG
342,DIG
343,DIG
344,DIG
345,DIG
346,DIG
347,DIG
348,DIG
349,DIG
350,DIG
351,DIG
352,DIG
