episode_id,path,n_steps,success,has_images,has_env_state,env_state_dim,step_ids_monotonic,has_step_ns,action_dim,qpos_dim,qvel_dim,timestamp,operator_id,session_id,profile,is_real,platform,guard_trigger_rate,controller_ack_rate,warnings,error
episode_0,data/qc_today_2026-06-09/episodes/episode_0.hdf5,1371,1,1,1,8,1,1,4,4,4,2026-05-28T07:14:21.353538,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_27,data/qc_today_2026-06-09/episodes/episode_27.hdf5,2839,1,1,1,8,1,1,4,4,4,2026-06-07T09:49:01.012815,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_28,data/qc_today_2026-06-09/episodes/episode_28.hdf5,185,1,1,1,8,1,1,4,4,4,2026-06-07T09:49:20.577234,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_29,data/qc_today_2026-06-09/episodes/episode_29.hdf5,3742,1,1,1,8,1,1,4,4,4,2026-06-07T09:50:55.378875,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_30,data/qc_today_2026-06-09/episodes/episode_30.hdf5,3225,1,1,1,8,1,1,4,4,4,2026-06-07T08:56:28.662389,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_31,data/qc_today_2026-06-09/episodes/episode_31.hdf5,3086,1,1,1,8,1,1,4,4,4,2026-06-07T09:00:18.396158,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_32,data/qc_today_2026-06-09/episodes/episode_32.hdf5,3479,1,1,1,8,1,1,4,4,4,2026-06-07T09:02:25.158161,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_33,data/qc_today_2026-06-09/episodes/episode_33.hdf5,3154,1,1,1,8,1,1,4,4,4,2026-06-07T09:05:13.650314,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_34,data/qc_today_2026-06-09/episodes/episode_34.hdf5,3089,1,1,1,8,1,1,4,4,4,2026-06-07T09:06:50.852624,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_35,data/qc_today_2026-06-09/episodes/episode_35.hdf5,3111,1,1,1,8,1,1,4,4,4,2026-06-07T09:08:23.784000,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_36,data/qc_today_2026-06-09/episodes/episode_36.hdf5,3082,1,1,1,8,1,1,4,4,4,2026-06-07T09:09:59.447010,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_37,data/qc_today_2026-06-09/episodes/episode_37.hdf5,2548,1,1,1,8,1,1,4,4,4,2026-06-07T09:11:35.130971,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_38,data/qc_today_2026-06-09/episodes/episode_38.hdf5,2747,1,1,1,8,1,1,4,4,4,2026-06-07T09:13:02.390344,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_39,data/qc_today_2026-06-09/episodes/episode_39.hdf5,3217,1,1,1,8,1,1,4,4,4,2026-06-09T08:01:06.610947,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_40,data/qc_today_2026-06-09/episodes/episode_40.hdf5,2801,1,1,1,8,1,1,4,4,4,2026-06-09T08:03:51.234676,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_41,data/qc_today_2026-06-09/episodes/episode_41.hdf5,2418,1,1,1,8,1,1,4,4,4,2026-06-09T08:05:39.587168,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_42,data/qc_today_2026-06-09/episodes/episode_42.hdf5,2793,1,1,1,8,1,1,4,4,4,2026-06-09T08:07:33.355157,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_43,data/qc_today_2026-06-09/episodes/episode_43.hdf5,2676,1,1,1,8,1,1,4,4,4,2026-06-09T08:09:35.378944,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_44,data/qc_today_2026-06-09/episodes/episode_44.hdf5,3806,1,1,1,8,1,1,4,4,4,2026-06-09T09:02:57.577926,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_45,data/qc_today_2026-06-09/episodes/episode_45.hdf5,5182,1,1,1,8,1,1,4,4,4,2026-06-09T09:06:13.106259,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_46,data/qc_today_2026-06-09/episodes/episode_46.hdf5,343,1,1,1,8,1,1,4,4,4,2026-06-09T10:01:16.571564,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_47,data/qc_today_2026-06-09/episodes/episode_47.hdf5,3169,1,1,1,8,1,1,4,4,4,2026-06-09T10:03:30.520116,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_48,data/qc_today_2026-06-09/episodes/episode_48.hdf5,3056,1,1,1,8,1,1,4,4,4,2026-06-09T10:06:49.082540,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_49,data/qc_today_2026-06-09/episodes/episode_49.hdf5,3346,1,1,1,8,1,1,4,4,4,2026-06-09T10:16:41.261762,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_50,data/qc_today_2026-06-09/episodes/episode_50.hdf5,3598,1,1,1,8,1,1,4,4,4,2026-06-09T10:18:58.469200,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_51,data/qc_today_2026-06-09/episodes/episode_51.hdf5,3444,1,1,1,8,1,1,4,4,4,2026-06-09T10:21:10.853056,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_52,data/qc_today_2026-06-09/episodes/episode_52.hdf5,3374,1,1,1,8,1,1,4,4,4,2026-06-09T10:24:50.302708,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_53,data/qc_today_2026-06-09/episodes/episode_53.hdf5,3303,1,1,1,8,1,1,4,4,4,2026-06-09T10:26:53.496954,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_54,data/qc_today_2026-06-09/episodes/episode_54.hdf5,3345,1,1,1,8,1,1,4,4,4,2026-06-09T10:29:00.770705,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_55,data/qc_today_2026-06-09/episodes/episode_55.hdf5,3040,1,1,1,8,1,1,4,4,4,2026-06-09T10:31:20.064311,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_56,data/qc_today_2026-06-09/episodes/episode_56.hdf5,3434,1,1,1,8,1,1,4,4,4,2026-06-09T10:35:48.136744,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_57,data/qc_today_2026-06-09/episodes/episode_57.hdf5,2825,1,1,1,8,1,1,4,4,4,2026-06-09T10:38:03.201365,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_58,data/qc_today_2026-06-09/episodes/episode_58.hdf5,2967,1,1,1,8,1,1,4,4,4,2026-06-09T10:40:20.186708,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_59,data/qc_today_2026-06-09/episodes/episode_59.hdf5,3094,1,1,1,8,1,1,4,4,4,2026-06-09T10:42:48.033161,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_60,data/qc_today_2026-06-09/episodes/episode_60.hdf5,3109,1,1,1,8,1,1,4,4,4,2026-06-09T10:44:47.246362,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_61,data/qc_today_2026-06-09/episodes/episode_61.hdf5,3001,1,1,1,8,1,1,4,4,4,2026-06-09T10:47:02.927736,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_62,data/qc_today_2026-06-09/episodes/episode_62.hdf5,2959,1,1,1,8,1,1,4,4,4,2026-06-09T10:51:16.299516,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_63,data/qc_today_2026-06-09/episodes/episode_63.hdf5,3207,1,1,1,8,1,1,4,4,4,2026-06-09T10:53:19.492077,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_64,data/qc_today_2026-06-09/episodes/episode_64.hdf5,3469,1,1,1,8,1,1,4,4,4,2026-06-09T10:55:16.202910,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
episode_65,data/qc_today_2026-06-09/episodes/episode_65.hdf5,3275,1,1,1,8,1,1,4,4,4,2026-06-09T10:57:16.491450,,remote_teleop_slave_record,real,1,real_excavator,0.0,1.0,,
